country,region,score,gdp,social_support,hle,freedom,generosity,corruption,positive_affect,negative_affect
croatia,central and eastern europe,5.881700038909912,10.21720027923584,0.9235941171646118,70.79936981201172,0.7536758780479431,-0.1176806166768074,0.9393432140350342,0.7427805066108704,0.2856097519397735
philippines,southeast asia,5.880199909210205,9.07558822631836,0.8299263715744019,61.99995422363281,0.916998565196991,-0.0968358516693115,0.74176424741745,0.8035621047019958,0.3268890082836151
south korea,east asia,5.8454999923706055,10.650712966918944,0.7990646958351135,73.89986419677734,0.6720153093338013,-0.0832347497344017,0.7270837426185608,0.6395556926727295,0.2470596581697464
peru,latin america and caribbean,5.839600086212158,9.458379745483398,0.8322862386703491,68.25005340576172,0.8219620585441589,-0.154102548956871,0.8911354541778564,0.820448100566864,0.3749854862689972
bosnia and herzegovina,central and eastern europe,5.81309986114502,9.590015411376951,0.8703864216804504,68.09849548339844,0.7063484787940979,0.1125200390815734,0.931212604045868,0.6442373394966125,0.3254123032093048
moldova,commonwealth of independent states,5.76639986038208,9.45394229888916,0.8567749261856079,65.69859313964844,0.822086751461029,-0.0786766037344932,0.9182137250900269,0.7272245287895203,0.2678360641002655
ecuador,latin america and caribbean,5.763999938964844,9.312904357910156,0.8205147385597229,68.79994201660156,0.8421871662139893,-0.1236747726798057,0.8425045609474182,0.7899407148361206,0.4160279631614685
kyrgyzstan,commonwealth of independent states,5.743599891662598,8.538470268249512,0.8933833241462708,64.4006118774414,0.9345319867134094,0.1193042770028114,0.9077425599098206,0.8030253648757935,0.2578130662441253
greece,western europe,5.722599983215332,10.278793334960938,0.8227670788764954,72.60015106201172,0.5817652940750122,-0.2881526052951813,0.8231480121612549,0.6844578385353088,0.3216842114925384
bolivia,latin america and caribbean,5.71589994430542,9.04567050933838,0.8095972537994385,63.90121841430664,0.874642014503479,-0.0773189291357994,0.839005708694458,0.7898184657096863,0.3817911744117737
mongolia,east asia,5.677199840545654,9.40017795562744,0.9351727962493896,62.50011444091797,0.7076252698898315,0.1155142188072204,0.8564766645431519,0.6364434957504272,0.2599830329418182
paraguay,latin america and caribbean,5.652599811553955,9.44814395904541,0.8933451771736145,65.9000015258789,0.8764378428459167,0.0281128380447626,0.8816799521446228,0.857724130153656,0.2751867175102234
montenegro,central and eastern europe,5.58050012588501,9.939974784851074,0.8582317233085632,68.6992416381836,0.7078997492790222,-0.0342153050005435,0.8122866153717041,0.6032826900482178,0.4113778173923492
dominican republic,latin america and caribbean,5.545100212097168,9.802362442016602,0.8528887629508972,66.10197448730469,0.8595534563064575,-0.1332858800888061,0.7141715288162231,0.7338669300079346,0.3139283061027527
north cyprus,western europe,5.5355000495910645,10.57603645324707,0.8203566074371338,73.89753723144531,0.7952935099601746,0.0121337501332163,0.6261156797409058,0.4936928749084472,0.2964111268520355
belarus,commonwealth of independent states,5.5335001945495605,9.853226661682127,0.909642219543457,66.25300598144531,0.6496435403823853,-0.1803240031003952,0.6266878247261047,0.5908505916595459,0.1898214071989059
russia,commonwealth of independent states,5.477200031280518,10.18874168395996,0.9028661847114564,64.70291137695312,0.7180507779121399,-0.1114475205540657,0.8446192741394043,0.6452149748802185,0.1895215362310409
hong kong s.a.r. of china,east asia,5.4766998291015625,11.00031280517578,0.8357810974121094,76.8200912475586,0.7168079614639282,0.0673442482948303,0.4026504456996918,0.608647346496582,0.210313618183136
tajikistan,commonwealth of independent states,5.46619987487793,8.090771675109863,0.8597100973129272,64.2805404663086,0.8320024609565735,-0.055771417915821,0.5526466965675354,0.7488976120948792,0.3441612720489502
vietnam,southeast asia,5.410799980163574,8.973156929016113,0.8499871492385864,68.03413391113281,0.9395929574966432,-0.0976143330335617,0.796421229839325,0.7511599063873291,0.1856101900339126
libya,middle east and north africa,5.410299777984619,9.62229347229004,0.8269725441932678,62.29999923706055,0.7710716128349304,-0.0866379514336586,0.6666070222854614,0.7087408900260925,0.4007374346256256
malaysia,southeast asia,5.384300231933594,10.238157272338867,0.8165094256401062,67.10215759277344,0.8946268558502197,0.1252958327531814,0.8393023014068604,0.8341774940490723,0.1760716885328292
indonesia,southeast asia,5.3445000648498535,9.364790916442873,0.8114106059074402,62.23636245727539,0.8728774189949036,0.5415529608726501,0.8673139214515686,0.8767140507698059,0.3017027974128723
congo (brazzaville),sub-saharan africa,5.341700077056885,8.117217063903809,0.6364794373512268,58.220947265625,0.6947336792945862,-0.0675396025180816,0.7446727156639099,0.6452539563179016,0.405040830373764
china,east asia,5.339099884033203,9.673171997070312,0.8108290433883667,69.5934066772461,0.9042927026748656,-0.1459076851606369,0.755388617515564,0.789345383644104,0.2449182271957397
ivory coast,sub-saharan africa,5.306000232696533,8.551093101501465,0.6440978646278381,50.11359786987305,0.7414627075195312,-0.0164920724928379,0.7944678664207458,0.6926469206809998,0.3399190902709961
armenia,commonwealth of independent states,5.282599925994873,9.487374305725098,0.7990387082099915,67.05514526367188,0.8253329992294312,-0.1676464080810547,0.6294224262237549,0.5982378125190735,0.4304634034633636
nepal,south asia,5.268899917602539,8.120031356811523,0.7743813395500183,64.2327880859375,0.7824746966362,0.1520128101110458,0.7274966835975647,0.5357981324195862,0.3571003079414367
bulgaria,central and eastern europe,5.265500068664551,10.015582084655762,0.9307728409767152,67.00025177001953,0.7878619432449341,-0.0964926779270172,0.9321166276931764,0.7058346271514893,0.2213510572910308
maldives,south asia,5.1975998878479,9.8259859085083,0.9131609201431274,70.5999984741211,0.853962779045105,0.0239978339523077,0.8246503472328186,,
azerbaijan,commonwealth of independent states,5.17080020904541,9.56872844696045,0.8359205722808838,65.65584564208984,0.8141629099845886,-0.222548171877861,0.5064712762832642,0.6425468325614929,0.1639202535152435
cameroon,sub-saharan africa,5.1417999267578125,8.18909740447998,0.7096076011657715,53.51531219482422,0.7312072515487671,0.0256444197148084,0.8476269841194153,0.6296146512031555,0.3864789605140686
senegal,sub-saharan africa,5.131800174713135,8.118176460266113,0.7102318406105042,59.801551818847656,0.6952162384986877,-0.0460028201341629,0.8007579445838928,0.7889730334281921,0.3319258391857147
albania,central and eastern europe,5.117400169372559,9.520496368408203,0.6974051594734192,68.9993896484375,0.7852362394332886,-0.0299214646220207,0.9010128974914552,0.6786612272262573,0.2650661170482635
