country,region,score,gdp,social_support,hle,freedom,generosity,corruption
South Africa,Sub-Saharan Africa,4.956399917602539,9.402575492858887,0.8596819639205933,56.903968811035156,0.7493821382522583,-0.0669967532157898,0.8595834374427795
Turkey,Middle East and North Africa,4.9475998878479,10.240470886230469,0.8217769265174866,67.1988754272461,0.5758052468299866,-0.13946326076984406,0.775604248046875
Pakistan,South Asia,4.934000015258789,8.458282470703125,0.6505712270736694,58.70899963378906,0.7255769968032837,0.09756748378276825,0.7869770526885986
Morocco,Middle East and North Africa,4.918000221252441,8.902779579162598,0.5599959492683411,66.20808410644531,0.7735444903373718,-0.23571033775806427,0.8014660477638245
Venezuela,Latin America and Caribbean,4.892199993133545,9.073103904724121,0.8609268069267273,66.69985961914062,0.6153803467750549,-0.16875705122947693,0.8266558647155762
Georgia,Commonwealth of Independent States,4.89139986038208,9.584575653076172,0.6711152195930481,64.30001068115234,0.7826029658317566,-0.23844508826732635,0.654995858669281
Algeria,Middle East and North Africa,4.8871002197265625,9.34237289428711,0.8019434213638306,66.00455474853516,0.4797153174877167,-0.06698665022850037,0.7518753409385681
Ukraine,Commonwealth of Independent States,4.874800205230713,9.436073303222656,0.8879203796386719,64.90174865722656,0.7244468927383423,-0.01103250589221716,0.9238168001174927
Iraq,Middle East and North Africa,4.854100227355957,9.240058898925781,0.7456973791122437,60.583316802978516,0.6297644376754761,-0.053082242608070374,0.8752124905586243
Gabon,Sub-Saharan Africa,4.851799964904785,9.60301685333252,0.7764019966125488,59.96162414550781,0.7305527925491333,-0.19985777139663696,0.8395736217498779
Burkina Faso,Sub-Saharan Africa,4.833799839019775,7.678089618682861,0.6722585558891296,54.15081787109375,0.6945601105690002,-0.00861741229891777,0.7479232549667358
Cambodia,Southeast Asia,4.830399990081787,8.360370635986328,0.7645816206932068,62.000335693359375,0.9585790634155273,0.033952608704566956,0.8434561491012573
Mozambique,Sub-Saharan Africa,4.79449987411499,7.158463478088379,0.7438184022903442,54.705841064453125,0.8818101286888123,0.06079568713903427,0.6844094395637512
Nigeria,Sub-Saharan Africa,4.759300231933594,8.532771110534668,0.7400800585746765,50.10182571411133,0.737415611743927,0.03739665448665619,0.8784207105636597
Mali,Sub-Saharan Africa,4.723499774932861,7.743618488311768,0.7244561910629272,51.968902587890625,0.6972617506980896,-0.03602544218301773,0.8269209861755371
Iran,Middle East and North Africa,4.721199989318848,9.58437442779541,0.7100515961647034,66.30035400390625,0.6075012683868408,0.2184768170118332,0.7141964435577393
Uganda,Sub-Saharan Africa,4.636499881744385,7.677433490753174,0.7811079025268555,56.10139083862305,0.7088271379470825,0.12167289108037949,0.8549025058746338
Liberia,Sub-Saharan Africa,4.625199794769287,7.287705898284912,0.7201086282730103,56.49757766723633,0.7352684736251831,0.05023176968097687,0.849899411201477
Kenya,Sub-Saharan Africa,4.606599807739258,8.36077880859375,0.6880660653114319,60.70405197143555,0.7785444855690002,0.2868662476539612,0.8254486322402954
Tunisia,Middle East and North Africa,4.596499919891357,9.265801429748535,0.6909812092781067,67.20076751708984,0.6559020280838013,-0.2005712240934372,0.8699617981910706
Lebanon,Middle East and North Africa,4.583799839019775,9.625673294067383,0.8478091359138489,67.35521697998047,0.5252207517623901,-0.07346584647893906,0.8981228470802307
Namibia,Sub-Saharan Africa,4.574100017547607,9.160563468933105,0.8180958032608032,56.79882049560547,0.7192999720573425,-0.14897291362285614,0.8467019200325012
Palestinian Territories,Middle East and North Africa,4.51669979095459,8.484533309936523,0.8259382247924805,62.25,0.6530195474624634,-0.16252174973487854,0.8213176131248474
Myanmar,Southeast Asia,4.42579984664917,8.540955543518066,0.7789490222930908,59.30188751220703,0.8756269216537476,0.508870542049408,0.6595363020896912
Jordan,Middle East and North Africa,4.394599914550781,9.18210506439209,0.7668236494064331,67.00030517578125,0.7552774548530579,-0.16678906977176666,0.7046573758125305
Chad,Sub-Saharan Africa,4.355400085449219,7.364013195037842,0.6193000078201294,48.47800064086914,0.5786272883415222,0.04134179651737213,0.8069084286689758
Sri Lanka,South Asia,4.324999809265137,9.470399856567383,0.8265063762664795,67.29920959472656,0.8414434194564819,0.07883036136627197,0.8630807399749756
Swaziland,Sub-Saharan Africa,4.30810022354126,9.065187454223633,0.770290195941925,50.8331413269043,0.6468222737312317,-0.18486350774765015,0.7082633376121521
Comoros,Sub-Saharan Africa,4.288599967956543,8.030753135681152,0.6256624460220337,57.3490104675293,0.5476126074790955,0.08156636357307434,0.7806226015090942
Egypt,Middle East and North Africa,4.282700061798096,9.366633415222168,0.7497766613960266,61.99771499633789,0.7485634684562683,-0.18211384117603302,0.794777512550354
Ethiopia,Sub-Saharan Africa,4.274700164794922,7.693592548370361,0.7638999223709106,58.99952697753906,0.7521147727966309,0.08200153708457947,0.7605333924293518
Mauritania,Sub-Saharan Africa,4.227399826049805,8.541807174682617,0.7949525117874146,57.160579681396484,0.5612248778343201,-0.10640240460634232,0.7309130430221558
Madagascar,Sub-Saharan Africa,4.208499908447266,7.396349906921387,0.6857328414916992,59.30538558959961,0.5521671772003174,-0.0051393574103713036,0.8031488656997681
Togo,Sub-Saharan Africa,4.106800079345703,7.362420558929443,0.5689000487327576,54.91435241699219,0.6193913221359253,0.031523190438747406,0.7722567319869995
Zambia,Sub-Saharan Africa,4.073400020599365,8.145450592041016,0.707517683506012,55.80921173095703,0.7818997502326965,0.060520924627780914,0.8234307765960693
Sierra Leone,Sub-Saharan Africa,3.849400043487549,7.433872222900391,0.6299904584884644,51.65053939819336,0.7171773314476013,0.0839950293302536,0.8663837313652039
India,South Asia,3.8189001083374023,8.755183219909668,0.6029612421989441,60.632999420166016,0.8931295871734619,0.08932670205831528,0.7737091183662415
Burundi,Sub-Saharan Africa,3.7753000259399414,6.635322093963623,0.4903257191181183,53.400001525878906,0.6263502240180969,-0.023876165971159935,0.6069345474243164
Yemen,Middle East and North Africa,3.657900094985962,7.578436851501465,0.8315374255180359,57.1215705871582,0.6021565794944763,-0.14671222865581512,0.8002877235412598
Tanzania,Sub-Saharan Africa,3.623199939727783,7.875572204589844,0.702070951461792,57.998992919921875,0.8331366777420044,0.18315006792545319,0.5769856572151184
Haiti,Latin America and Caribbean,3.6149001121520996,7.477138042449951,0.5395039319992065,55.70000076293945,0.5933555960655212,0.4215203523635864,0.7210492491722107
